"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 09 13:27:48 UTC 2025","Wed Apr 09 13:27:49 UTC 2025","336","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testUpdateBookWithPageCount","Update a book with different page count values",""
"passed","Wed Apr 09 13:27:48 UTC 2025","Wed Apr 09 13:27:48 UTC 2025","351","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testUpdateBookWithPageCount","Update a book with different page count values",""
"passed","Wed Apr 09 13:27:46 UTC 2025","Wed Apr 09 13:27:46 UTC 2025","326","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testRetrieveBookByIdNotFound","Retrieve a book by nonexistent ID",""
"passed","Wed Apr 09 13:27:37 UTC 2025","Wed Apr 09 13:27:38 UTC 2025","319","API Test Suite","Authors Tests","tests.AuthorsTests","tests.AuthorsTests","testDeleteAuthorByInvalidDataType","Delete an author by not valid data type",""
"passed","Wed Apr 09 13:27:40 UTC 2025","Wed Apr 09 13:27:40 UTC 2025","342","API Test Suite","Authors Tests","tests.AuthorsTests","tests.AuthorsTests","updateAuthorInvalidDataType","Update an existing author with not valid 'idBook' data type",""
"passed","Wed Apr 09 13:27:43 UTC 2025","Wed Apr 09 13:27:43 UTC 2025","328","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testAddBookWithPageCount","Add a book with different page count values",""
"passed","Wed Apr 09 13:27:38 UTC 2025","Wed Apr 09 13:27:38 UTC 2025","330","API Test Suite","Authors Tests","tests.AuthorsTests","tests.AuthorsTests","testDeleteAuthorByValidId","Delete an author by valid id",""
"passed","Wed Apr 09 13:27:38 UTC 2025","Wed Apr 09 13:27:39 UTC 2025","568","API Test Suite","Authors Tests","tests.AuthorsTests","tests.AuthorsTests","testGetAllAuthors","Retrieve all the authors",""
"passed","Wed Apr 09 13:27:39 UTC 2025","Wed Apr 09 13:27:39 UTC 2025","340","API Test Suite","Authors Tests","tests.AuthorsTests","tests.AuthorsTests","testRetrieveAuthorById","Retrieve details of a specific author by its ID",""
"passed","Wed Apr 09 13:27:41 UTC 2025","Wed Apr 09 13:27:41 UTC 2025","432","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testAddBookWithInvalidDataType","Add a book with not valid date data type",""
"passed","Wed Apr 09 13:27:33 UTC 2025","Wed Apr 09 13:27:36 UTC 2025","2783","API Test Suite","Authors Tests","tests.AuthorsTests","tests.AuthorsTests","testAddAuthorWithInvalidDataType","Add an author with not valid data type",""
"failed","Wed Apr 09 13:27:48 UTC 2025","Wed Apr 09 13:27:48 UTC 2025","302","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testUpdateBookWithPageCount","Update a book with different page count values",""
"failed","Wed Apr 09 13:27:46 UTC 2025","Wed Apr 09 13:27:47 UTC 2025","304","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testUpdateBookByNonexistentId","Update a book by nonexistent id",""
"failed","Wed Apr 09 13:27:36 UTC 2025","Wed Apr 09 13:27:37 UTC 2025","1170","API Test Suite","Authors Tests","tests.AuthorsTests","tests.AuthorsTests","testAddValidAuthor","Add an author to the system",""
"passed","Wed Apr 09 13:27:44 UTC 2025","Wed Apr 09 13:27:45 UTC 2025","325","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testDeleteBookInvalidDataTypeId","Delete a book with not valid data type for 'id' ",""
"passed","Wed Apr 09 13:27:42 UTC 2025","Wed Apr 09 13:27:42 UTC 2025","323","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testAddBookWithPageCount","Add a book with different page count values",""
"passed","Wed Apr 09 13:27:46 UTC 2025","Wed Apr 09 13:27:46 UTC 2025","306","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testUpdateBookById","Update an existing book by its ID",""
"passed","Wed Apr 09 13:27:41 UTC 2025","Wed Apr 09 13:27:41 UTC 2025","330","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testAddBookWithPageCount","Add a book with different page count values",""
"failed","Wed Apr 09 13:27:44 UTC 2025","Wed Apr 09 13:27:44 UTC 2025","624","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testDeleteBookById","Delete an existing book by its ID",""
"failed","Wed Apr 09 13:27:38 UTC 2025","Wed Apr 09 13:27:38 UTC 2025","327","API Test Suite","Authors Tests","tests.AuthorsTests","tests.AuthorsTests","testDeleteAuthorByNonexistentId","Delete an author by nonexistent id",""
"passed","Wed Apr 09 13:27:45 UTC 2025","Wed Apr 09 13:27:45 UTC 2025","573","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testRetrieveAllBooks","Retrieve all the books",""
"passed","Wed Apr 09 13:27:47 UTC 2025","Wed Apr 09 13:27:47 UTC 2025","320","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testUpdateBookWithPageCount","Update a book with different page count values",""
"passed","Wed Apr 09 13:27:43 UTC 2025","Wed Apr 09 13:27:43 UTC 2025","353","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testAddBookWithPageCount","Add a book with different page count values",""
"failed","Wed Apr 09 13:27:42 UTC 2025","Wed Apr 09 13:27:42 UTC 2025","310","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testAddBookWithPageCount","Add a book with different page count values",""
"passed","Wed Apr 09 13:27:47 UTC 2025","Wed Apr 09 13:27:47 UTC 2025","335","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testUpdateBookWithInvalidDataType","Update an existing book with not valid data type for 'id'",""
"passed","Wed Apr 09 13:27:49 UTC 2025","Wed Apr 09 13:27:49 UTC 2025","310","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testUpdateBookWithPageCount","Update a book with different page count values",""
"failed","Wed Apr 09 13:27:41 UTC 2025","Wed Apr 09 13:27:42 UTC 2025","312","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testAddBookWithPageCount","Add a book with different page count values",""
"passed","Wed Apr 09 13:27:49 UTC 2025","Wed Apr 09 13:27:49 UTC 2025","324","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testUpdateBookWithPageCount","Update a book with different page count values",""
"passed","Wed Apr 09 13:27:39 UTC 2025","Wed Apr 09 13:27:39 UTC 2025","334","API Test Suite","Authors Tests","tests.AuthorsTests","tests.AuthorsTests","testRetrieveAuthorByIdNotFound","Retrieve an author by nonexistent id",""
"passed","Wed Apr 09 13:27:43 UTC 2025","Wed Apr 09 13:27:44 UTC 2025","310","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testAddValidBook","Add new book to the system",""
"passed","Wed Apr 09 13:27:42 UTC 2025","Wed Apr 09 13:27:43 UTC 2025","336","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testAddBookWithPageCount","Add a book with different page count values",""
"failed","Wed Apr 09 13:27:45 UTC 2025","Wed Apr 09 13:27:45 UTC 2025","304","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testDeleteBookNonexistentId","Delete a book by nonexistent id",""
"failed","Wed Apr 09 13:27:40 UTC 2025","Wed Apr 09 13:27:40 UTC 2025","326","API Test Suite","Authors Tests","tests.AuthorsTests","tests.AuthorsTests","updateAuthorByIdNotFound","Update an author with nonexistent id ",""
"passed","Wed Apr 09 13:27:45 UTC 2025","Wed Apr 09 13:27:46 UTC 2025","308","API Test Suite","Books Tests","tests.BooksTests","tests.BooksTests","testRetrieveBookById","Retrieve details of a specific book by its ID",""
